SampleID	LONGITUDE	LATITUDE	COUNTRY	Soil_Order	Order_Name
KA1F.B.06.674448	-88.230357	41.841508	GAZ:United States of America	9	Mollisols
UPSub.17.18.646814	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA2U.D.10.674204	-88.230357	41.841123	GAZ:United States of America	9	Mollisols
TVF.2004.Loc3.D0.Rep2.414408	-145.64	64.35	GAZ:United States of America	11	Inceptisols
TVF.Control.Loc5.D0.Rep5.414452	-145.8	64.33	GAZ:United States of America	11	Inceptisols
KA1F.A.19.674533	-88.230357	41.841521	GAZ:United States of America	9	Mollisols
KA3F.E.23.674623	-88.230357	41.840733	GAZ:United States of America	9	Mollisols
DP.70.71A.1.646960	-72.7	42.17566	GAZ:United States of America	10	Alfisols
KA2U.A.11.674476	-88.230357	41.841111	GAZ:United States of America	9	Mollisols
C.2.0.660556	-155.84473	20.091661	GAZ:United States of America	4	Andisols
KA1F.A.15.674167	-88.230357	41.841521	GAZ:United States of America	9	Mollisols
TVF.Control.Loc5.D0.Rep1.414429	-145.8	64.33	GAZ:United States of America	11	Inceptisols
KA3U.E.04.674567	-88.230357	41.840717	GAZ:United States of America	9	Mollisols
TVF.2004.Loc5.D0.Rep4.414502	-145.64	64.35	GAZ:United States of America	11	Inceptisols
KA2F.E.13.674161	-88.230357	41.841125	GAZ:United States of America	9	Mollisols
SKB1.640202	-117.241111	33.193611	GAZ:United States of America	10	Alfisols
KA1U.E.01.674416	-88.230357	41.84151	GAZ:United States of America	9	Mollisols
Hopland.14C.Control.TP1.02.590951	-123.07	38.99	GAZ:United States of America	9	Mollisols
KA2F.D.08.674175	-88.230357	41.84112	GAZ:United States of America	9	Mollisols
